epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,2155.99,0.67809,0.39229,0.89818,0.97907,0.94147,0.96868,0.84386,0.68933,0.38855,0.89687,0.006898,0.006898,0.006898
96,2177.02,0.68,0.39517,0.89484,0.96355,0.96774,0.97114,0.84339,0.68889,0.38378,0.89274,0.006865,0.006865,0.006865
97,2200.3,0.67707,0.38455,0.89979,0.97827,0.96151,0.97192,0.85644,0.67867,0.36602,0.89083,0.006832,0.006832,0.006832
98,2222.36,0.66605,0.38459,0.89597,0.96239,0.95103,0.96152,0.83122,0.69605,0.38413,0.89648,0.006799,0.006799,0.006799
99,2243.95,0.66681,0.38355,0.89686,0.97837,0.95548,0.97243,0.85109,0.67452,0.36115,0.89152,0.006766,0.006766,0.006766
100,2266.17,0.66284,0.37802,0.89343,0.97448,0.96774,0.97273,0.85215,0.67821,0.36942,0.88968,0.006733,0.006733,0.006733
101,2288.55,0.66297,0.37978,0.89129,0.97603,0.93102,0.96772,0.83707,0.67968,0.38368,0.88888,0.0067,0.0067,0.0067
102,2309.66,0.67256,0.37953,0.89633,0.96475,0.93995,0.96638,0.8361,0.68713,0.36738,0.89743,0.006667,0.006667,0.006667
103,2331.82,0.65686,0.37612,0.88936,0.97393,0.94527,0.9669,0.83145,0.69531,0.3739,0.89219,0.006634,0.006634,0.006634
104,2354.12,0.65415,0.37985,0.88733,0.96637,0.94747,0.96945,0.83985,0.68908,0.39648,0.88783,0.006601,0.006601,0.006601
105,2375.56,0.65987,0.37902,0.8914,0.96613,0.95559,0.96861,0.84039,0.69711,0.38526,0.89202,0.006568,0.006568,0.006568
106,2396.86,0.63874,0.36632,0.88861,0.98054,0.94677,0.96799,0.84273,0.68934,0.36485,0.8861,0.006535,0.006535,0.006535
107,2417.65,0.63666,0.36478,0.88896,0.97322,0.92726,0.95732,0.82243,0.7081,0.40999,0.89644,0.006502,0.006502,0.006502
108,2441.95,0.65358,0.37806,0.88991,0.97158,0.94009,0.97119,0.82526,0.72363,0.37758,0.89849,0.006469,0.006469,0.006469
109,2463.68,0.64881,0.37153,0.89257,0.989,0.95471,0.97374,0.84813,0.67982,0.368,0.90119,0.006436,0.006436,0.006436
110,2484.44,0.64574,0.36715,0.88763,0.9806,0.94397,0.97847,0.83812,0.69467,0.37018,0.90057,0.006403,0.006403,0.006403
111,2507.07,0.63767,0.36451,0.8893,0.97536,0.95694,0.97249,0.84128,0.71213,0.38287,0.89897,0.00637,0.00637,0.00637
112,2528.09,0.63848,0.36932,0.88865,0.97322,0.95996,0.97311,0.84052,0.71678,0.37542,0.8967,0.006337,0.006337,0.006337
113,2550.74,0.63968,0.37213,0.88625,0.97274,0.95812,0.97166,0.83855,0.72263,0.37135,0.89222,0.006304,0.006304,0.006304
114,2572.59,0.64117,0.36913,0.89007,0.97637,0.96814,0.972,0.83916,0.71411,0.36175,0.89601,0.006271,0.006271,0.006271
115,2596.88,0.6468,0.36753,0.88799,0.98025,0.96314,0.97217,0.8464,0.67915,0.35967,0.88963,0.006238,0.006238,0.006238
116,2618.31,0.6253,0.35774,0.88194,0.98522,0.94116,0.97219,0.84524,0.69748,0.37309,0.89771,0.006205,0.006205,0.006205
117,2639.17,0.62293,0.35909,0.88564,0.98649,0.96153,0.97319,0.83934,0.73683,0.37258,0.90547,0.006172,0.006172,0.006172
118,2661.63,0.63123,0.36074,0.88948,0.93923,0.93775,0.96128,0.83021,0.70113,0.40642,0.89549,0.006139,0.006139,0.006139
119,2682.33,0.62274,0.36069,0.88354,0.97947,0.94652,0.96863,0.84246,0.68518,0.35724,0.88453,0.006106,0.006106,0.006106
120,2703.31,0.6236,0.35944,0.88543,0.98345,0.96064,0.97738,0.8481,0.69374,0.35809,0.88681,0.006073,0.006073,0.006073
121,2724.17,0.61905,0.35676,0.88364,0.97896,0.96233,0.97654,0.84115,0.71083,0.36093,0.88949,0.00604,0.00604,0.00604
122,2747.32,0.61987,0.3561,0.88656,0.98199,0.96912,0.97403,0.84889,0.6997,0.34885,0.89067,0.006007,0.006007,0.006007
123,2768.84,0.6204,0.35993,0.88464,0.95314,0.95159,0.97092,0.84663,0.70154,0.37099,0.89179,0.005974,0.005974,0.005974
124,2790.68,0.61292,0.35212,0.88517,0.98054,0.92179,0.96793,0.84167,0.69816,0.3717,0.89838,0.005941,0.005941,0.005941
125,2814.17,0.61149,0.35003,0.87889,0.97292,0.93918,0.97095,0.83807,0.69648,0.36644,0.88668,0.005908,0.005908,0.005908
126,2836.04,0.60595,0.35086,0.87486,0.93269,0.95869,0.96996,0.84661,0.70289,0.36782,0.88477,0.005875,0.005875,0.005875
127,2857.4,0.60644,0.34847,0.87843,0.94783,0.9386,0.96768,0.83629,0.69563,0.37767,0.88702,0.005842,0.005842,0.005842
128,2879.05,0.60294,0.34716,0.87983,0.96271,0.94643,0.9698,0.83903,0.70338,0.36254,0.89665,0.005809,0.005809,0.005809
129,2902.95,0.60247,0.34536,0.87633,0.98314,0.93503,0.96252,0.83407,0.68823,0.37968,0.89801,0.005776,0.005776,0.005776
130,2925.38,0.60085,0.35156,0.88167,0.98096,0.92154,0.95377,0.82572,0.69639,0.38383,0.88992,0.005743,0.005743,0.005743
131,2947.03,0.59339,0.34456,0.8767,0.97957,0.92836,0.9665,0.8391,0.69036,0.37503,0.88831,0.00571,0.00571,0.00571
132,2971.27,0.59119,0.34291,0.87592,0.98204,0.91524,0.96872,0.84243,0.69231,0.36605,0.88574,0.005677,0.005677,0.005677
133,2993.5,0.59393,0.34956,0.87777,0.97429,0.95405,0.97279,0.8447,0.69828,0.35391,0.88929,0.005644,0.005644,0.005644
134,3014.48,0.59715,0.34337,0.87984,0.97541,0.95271,0.97813,0.85015,0.68013,0.37671,0.88439,0.005611,0.005611,0.005611
135,3035.94,0.57904,0.33774,0.87416,0.97741,0.9632,0.97895,0.8435,0.68071,0.34278,0.88126,0.005578,0.005578,0.005578
136,3058.51,0.58991,0.342,0.87577,0.96976,0.95123,0.97196,0.84831,0.69867,0.36533,0.89505,0.005545,0.005545,0.005545
137,3079.82,0.58436,0.33856,0.87572,0.98011,0.9478,0.97115,0.84824,0.67223,0.35389,0.89328,0.005512,0.005512,0.005512
138,3101.37,0.5864,0.33905,0.87339,0.97897,0.95307,0.97506,0.8511,0.68391,0.34806,0.88245,0.005479,0.005479,0.005479
139,3124.08,0.59221,0.34505,0.8763,0.98048,0.94757,0.97633,0.85478,0.68069,0.35731,0.88788,0.005446,0.005446,0.005446
140,3144.83,0.58071,0.33809,0.87435,0.98538,0.95786,0.97789,0.85192,0.66478,0.33791,0.89031,0.005413,0.005413,0.005413
141,3164.74,0.57858,0.33584,0.87594,0.97739,0.95676,0.97727,0.84781,0.70281,0.35439,0.89811,0.00538,0.00538,0.00538
142,3185.66,0.57393,0.33057,0.87119,0.97729,0.95688,0.97371,0.84396,0.68934,0.35317,0.88891,0.005347,0.005347,0.005347
143,3208.17,0.56803,0.3319,0.86964,0.9849,0.95597,0.97222,0.84179,0.697,0.3467,0.89329,0.005314,0.005314,0.005314
144,3229.21,0.58092,0.3355,0.87496,0.9882,0.93836,0.9697,0.83852,0.69559,0.34745,0.89248,0.005281,0.005281,0.005281
145,3249.69,0.5747,0.33423,0.87238,0.98692,0.96454,0.97607,0.8517,0.67788,0.33932,0.88359,0.005248,0.005248,0.005248
146,3272.06,0.56512,0.32956,0.86464,0.98747,0.96578,0.97544,0.85183,0.68639,0.337,0.88385,0.005215,0.005215,0.005215
147,3292.82,0.5679,0.3316,0.87141,0.98422,0.96426,0.97505,0.84569,0.68169,0.33847,0.88707,0.005182,0.005182,0.005182
